time,frequency,confidence
0.000,0.000,nan
0.500,0.000,nan
1.000,0.000,nan
1.500,0.000,nan
2.000,0.000,nan
2.500,0.000,nan
3.000,0.000,nan
3.500,486.778,0.849254
4.000,497.358,0.965935
4.500,496.788,0.979095
5.000,525.507,0.964737
5.500,518.518,0.902894
6.000,492.818,0.846115
6.500,475.492,0.697020
7.000,443.864,0.944266
7.500,393.242,0.963053
8.000,393.373,0.972233
8.500,441.449,0.964980
9.000,497.758,0.937796
9.500,495.931,0.956634
10.000,443.853,0.951857
10.500,443.087,0.967920
11.000,495.451,0.980779
11.500,496.906,0.962746
12.000,524.495,0.957720
12.500,514.642,0.980543
13.000,491.653,0.807517
13.500,477.013,0.854882
14.000,443.466,0.949768
14.500,396.363,0.864224
15.000,396.246,0.591662
15.500,442.160,0.947419
16.000,444.017,0.941022
16.500,397.539,0.942774
17.000,393.365,0.971266
17.500,440.264,0.959397
18.000,440.505,0.873040
18.500,494.975,0.974663
19.000,479.873,0.960039
19.500,444.665,0.878074
20.000,497.783,0.902687
20.500,481.809,0.947057
21.000,442.081,0.933030
21.500,497.188,0.962281
22.000,444.157,0.926373
22.500,397.823,0.942208
23.000,439.276,0.954328
23.500,443.814,0.961146
24.000,477.907,0.943194
24.500,495.884,0.966534
25.000,525.325,0.963159
25.500,590.929,0.967191
26.000,550.587,0.754222
26.500,501.076,0.925338
27.000,444.053,0.909664
27.500,396.290,0.899392
28.000,392.823,0.964249
28.500,443.041,0.737495
29.000,446.695,0.524026
29.500,401.987,0.597210
30.000,394.343,0.941801
30.500,394.501,0.937831
31.000,434.806,0.900911
31.500,487.612,0.782610
32.000,527.976,0.487877
32.500,591.584,0.860449
33.000,652.424,0.938412
33.500,704.130,0.839729
34.000,790.081,0.932013
34.500,785.653,0.960633
35.000,884.312,0.953173
35.500,993.847,0.895993
36.000,994.104,0.939618
36.500,894.762,0.871251
37.000,883.416,0.972825
37.500,991.667,0.944910
38.000,1005.553,0.882058
38.500,1045.689,0.962091
39.000,1080.537,0.877012
39.500,1054.742,0.917757
40.000,1014.945,0.765390
40.500,935.848,0.921093
41.000,895.463,0.965727
41.500,882.905,0.973681
42.000,987.237,0.931628
42.500,883.519,0.961458
43.000,781.277,0.950763
43.500,783.700,0.953411
44.000,874.878,0.321933
44.500,881.230,0.971309
45.000,850.392,0.962094
45.500,789.622,0.900089
46.000,883.698,0.937456
46.500,990.871,0.950262
47.000,961.426,0.859789
47.500,999.372,0.866348
48.000,1003.370,0.885861
48.500,902.029,0.920912
49.000,882.455,0.948701
49.500,887.756,0.836275
50.000,916.875,0.840971
50.500,989.970,0.941306
51.000,1050.155,0.926948
51.500,1035.153,0.916606
52.000,979.135,0.848085
52.500,946.901,0.644218
53.000,889.718,0.875849
53.500,787.560,0.952253
54.000,787.882,0.943895
54.500,883.808,0.957140
55.000,989.980,0.962561
55.500,886.859,0.949288
56.000,886.305,0.943093
56.500,790.432,0.928262
57.000,781.005,0.512951
57.500,787.597,0.609026
58.000,782.746,0.908322
58.500,794.167,0.937182
59.000,797.622,0.837725
59.500,791.345,0.893806
60.000,787.629,0.470061
60.500,795.882,nan
61.000,795.882,nan
61.500,795.882,nan
62.000,795.882,nan
62.500,795.882,nan
63.000,795.882,nan
